Year,Platform,Genre,GlobalSales
1980,2600,Shooter,4.31
1980,2600,Shooter,2.76
1980,2600,Misc,1.15
1980,2600,Misc,1.05
1980,2600,Fighting,0.77
1980,2600,Sports,0.49
1980,2600,Action,0.34
1980,2600,Misc,0.27
1980,2600,Misc,0.24
1981,2600,Platform,4.5
1981,2600,Action,2.2
1981,2600,Shooter,2.13
1981,2600,Action,1.97
1981,2600,Puzzle,1.65
1981,2600,Shooter,1.6
1981,2600,Platform,1.46
1981,2600,Shooter,1.36
1981,2600,Shooter,1.27
1981,2600,Shooter,1.1
1981,2600,Shooter,1.05
1981,2600,Platform,0.97
1981,2600,Action,0.93
1981,2600,Action,0.82
1981,2600,Action,0.79
1981,2600,Action,0.77
1981,2600,Shooter,0.73
1981,2600,Action,0.69
1981,2600,Action,0.67
1981,2600,Puzzle,0.59
1981,2600,Action,0.59
1981,2600,Action,0.5
1981,2600,Racing,0.48
1981,2600,Simulation,0.45
1981,2600,Action,0.45
1981,2600,Action,0.43
1981,2600,Action,0.4
1981,2600,Action,0.39
1981,2600,Action,0.39
1981,2600,Action,0.37
1981,2600,Action,0.36
1981,2600,Action,0.34
1981,2600,Shooter,0.34
1981,2600,Action,0.33
1981,2600,Action,0.31
1981,2600,Action,0.29
1981,2600,Sports,0.26
1981,2600,Action,0.24
1981,2600,Shooter,0.24
1981,2600,Shooter,0.22
1981,2600,Action,0.22
1981,2600,Action,0.22
1981,2600,Sports,0.21
1981,2600,Sports,0.19
1981,2600,Action,0.17
1981,2600,Sports,0.13
1982,2600,Puzzle,7.81
1982,2600,Puzzle,1.64
1982,2600,Platform,1.59
1982,2600,Racing,1.18
1982,2600,Shooter,1.12
1982,2600,Platform,1.1
1982,2600,Platform,1.08
1982,2600,Misc,0.87
1982,2600,Shooter,0.78
1982,2600,Shooter,0.77
1982,2600,Platform,0.72
1982,2600,Action,0.66
1982,2600,Action,0.63
1982,2600,Shooter,0.62
1982,2600,Action,0.62
1982,2600,Puzzle,0.58
1982,2600,Sports,0.55
1982,2600,Action,0.54
1982,2600,Platform,0.54
1982,2600,Shooter,0.5
1982,2600,Sports,0.5
1982,2600,Action,0.5
1982,2600,Action,0.4
1982,2600,Racing,0.39
1982,2600,Action,0.38
1982,2600,Action,0.34
1982,2600,Action,0.34
1982,2600,Action,0.32
1982,2600,Action,0.31
1982,2600,Action,0.28
1982,2600,Action,0.27
1982,2600,Action,0.25
1982,2600,Action,0.22
1982,2600,Action,0.17
1982,2600,Action,0.15
1982,2600,Action,0.14
1983,NES,Sports,3.2
1983,NES,Platform,2.28
1983,NES,Misc,2.14
1983,2600,Platform,1.31
1983,NES,Platform,1.13
1983,NES,Platform,1.11
1983,NES,Platform,1.1
1983,2600,Puzzle,0.78
1983,2600,Action,0.77
1983,2600,Action,0.5
1983,2600,Shooter,0.48
1983,2600,Action,0.46
1983,2600,Adventure,0.4
1983,2600,Action,0.34
1983,2600,Action,0.33
1983,2600,Action,0.29
1983,2600,Action,0.17
1984,NES,Shooter,28.31
1984,NES,Racing,4.16
1984,NES,Sports,4.01
1984,NES,Sports,2.17
1984,NES,Action,1.85
1984,NES,Racing,1.52
1984,NES,Shooter,1.52
1984,NES,Misc,1.45
1984,NES,Shooter,1.27
1984,NES,Puzzle,1.22
1984,NES,Puzzle,1.1
1984,NES,Puzzle,0.82
1984,NES,Platform,0.69
1984,2600,Racing,0.27
1985,NES,Platform,40.24
1985,NES,Action,3.5
1985,NES,Sports,1.96
1985,NES,Platform,1.5
1985,NES,Puzzle,1.32
1985,NES,Fighting,1.05
1985,NES,Puzzle,1.03
1985,NES,Shooter,1
1985,NES,Platform,0.92
1985,NES,Platform,0.51
1985,2600,Puzzle,0.45
1985,NES,Puzzle,0.41
1985,PC,Simulation,0.03
1985,DS,Action,0.02
1986,NES,Action,6.51
1986,NES,Sports,3.08
1986,NES,Action,2.73
1986,NES,Platform,2.65
1986,NES,Role-Playing,2.52
1986,NES,Sports,2.2
1986,NES,Racing,1.96
1986,NES,Platform,1.76
1986,NES,Action,1.64
1986,NES,Platform,1.5
1986,NES,Shooter,1.36
1986,NES,Platform,1.23
1986,NES,Shooter,1.2
1986,NES,Platform,1.2
1986,NES,Action,1.15
1986,NES,Action,1.14
1986,NES,Platform,1.05
1986,NES,Shooter,0.96
1986,NES,Action,0.57
1986,2600,Shooter,0.37
1986,2600,Sports,0.29
1987,NES,Adventure,4.38
1987,NES,Fighting,3.02
1987,NES,Role-Playing,2.56
1987,NES,Fighting,2.4
1987,NES,Sports,2.15
1987,NES,Sports,1.42
1987,NES,Role-Playing,1.25
1987,NES,Platform,0.93
1987,NES,Role-Playing,0.84
1987,NES,Platform,0.81
1987,2600,Action,0.65
1987,2600,Action,0.47
1987,2600,Shooter,0.45
1987,2600,Shooter,0.26
1987,2600,Sports,0.08
1987,2600,Sports,0.07
1988,NES,Platform,17.28
1988,NES,Platform,7.46
1988,NES,Puzzle,5.58
1988,NES,Role-Playing,3.87
1988,NES,Sports,2.42
1988,NES,Racing,2.14
1988,NES,Platform,1.56
1988,NES,Action,1.51
1988,GB,Platform,1.43
1988,NES,Role-Playing,1.25
1988,NES,Sports,1.18
1988,NES,Role-Playing,0.76
1988,2600,Shooter,0.51
1988,2600,Action,0.24
1988,PC,Simulation,0.03
1989,GB,Puzzle,30.26
1989,GB,Platform,18.14
1989,GB,Puzzle,5.34
1989,NES,Action,4.17
1989,GB,Sports,2.12
1989,GB,Sports,1.99
1989,GB,Puzzle,1.94
1989,NES,Platform,1.67
1989,GB,Sports,1.61
1989,GB,Misc,1.28
1989,GB,Shooter,1.2
1989,GB,Role-Playing,1.1
1989,NES,Role-Playing,1.1
1989,NES,Platform,0.85
1989,2600,Action,0.47
1989,2600,Puzzle,0.15
1989,NES,Puzzle,0.06
1990,SNES,Platform,20.61
1990,NES,Puzzle,4.85
1990,GB,Racing,3.41
1990,NES,Role-Playing,3.12
1990,SNES,Racing,2.85
1990,GEN,Action,2.6
1990,NES,Action,2.23
1990,SNES,Action,1.56
1990,NES,Sports,1.48
1990,NES,Role-Playing,1.4
1990,NES,Platform,1.19
1990,NES,Platform,1.17
1990,GB,Puzzle,1.15
1990,SNES,Simulation,1.14
1990,GB,Sports,0.33
1990,NES,Sports,0.3
1991,SNES,Action,4.61
1991,GEN,Platform,4.34
1991,SNES,Simulation,1.98
1991,SNES,Role-Playing,1.77
1991,GB,Adventure,1.76
1991,NES,Puzzle,1.75
1991,SNES,Shooter,1.65
1991,NES,Action,1.39
1991,SNES,Platform,1.18
1991,GB,Racing,1.14
1991,NES,Sports,1
1991,NES,Platform,0.93
1991,GB,Role-Playing,0.76
1991,GB,Puzzle,0.73
1991,SNES,Platform,0.63
1991,SNES,Adventure,0.48
1991,NES,Puzzle,0.44
1991,SNES,Action,0.42
1991,SNES,Fighting,0.39
1991,SNES,Sports,0.38
1991,GB,Role-Playing,0.38
1991,SNES,Sports,0.33
1991,SNES,Strategy,0.33
1991,NES,Puzzle,0.32
1991,SNES,Role-Playing,0.29
1991,GB,Platform,0.28
1991,NES,Sports,0.28
1991,GB,Platform,0.28
1991,SNES,Action,0.28
1991,SNES,Strategy,0.25
1991,SNES,Shooter,0.23
1991,SNES,Sports,0.2
1991,GB,Strategy,0.18
1991,SNES,Strategy,0.18
1991,SNES,Simulation,0.16
1991,SNES,Sports,0.15
1991,SNES,Shooter,0.12
1991,SNES,Misc,0.08
1991,SNES,Sports,0.07
1991,GB,Action,0.06
1991,SNES,Role-Playing,0.05
1992,GB,Adventure,11.18
1992,SNES,Racing,8.76
1992,SNES,Fighting,6.3
1992,GEN,Platform,6.03
1992,GB,Platform,5.13
1992,SNES,Fighting,4.1
1992,GB,Action,3.83
1992,SNES,Role-Playing,2.79
1992,SNES,Misc,2.75
1992,GEN,Fighting,2.67
1992,SNES,Role-Playing,2.45
1992,GB,Misc,2.19
1992,PC,Simulation,2.14
1992,GEN,Sports,2.05
1992,GB,Puzzle,1.68
1992,GEN,Fighting,1.66
1992,GB,Puzzle,1.24
1992,SNES,Platform,1.21
1992,NES,Puzzle,1.12
1992,SNES,Role-Playing,0.97
1992,NES,Platform,0.79
1992,PC,Adventure,0.78
1992,SNES,Role-Playing,0.58
1992,SNES,Puzzle,0.57
1992,SNES,Sports,0.46
1992,SNES,Fighting,0.39
1992,SNES,Strategy,0.29
1992,SNES,Sports,0.28
1992,SNES,Racing,0.28
1992,GB,Puzzle,0.23
1992,SNES,Platform,0.22
1992,SNES,Adventure,0.16
1992,SNES,Sports,0.16
1992,SNES,Shooter,0.13
1992,GEN,Shooter,0.13
1992,GEN,Adventure,0.12
1992,NES,Fighting,0.07
1992,SNES,Role-Playing,0.07
1992,PC,Strategy,0.06
1992,SNES,Fighting,0.06
1992,GG,Platform,0.04
1992,PC,Shooter,0.03
1992,PC,Strategy,0.01
1993,SNES,Platform,10.55
1993,SNES,Shooter,2.99
1993,SNES,Fighting,2
1993,SNES,Fighting,1.93
1993,SNES,Role-Playing,1.83
1993,SNES,Platform,1.75
1993,NES,Platform,1.75
1993,SNES,Puzzle,1.7
1993,SCD,Platform,1.5
1993,SNES,Fighting,1.45
1993,SNES,Fighting,1.2
1993,SNES,Role-Playing,1.17
1993,SNES,Platform,1.16
1993,SNES,Role-Playing,1.15
1993,SNES,Action,1.02
1993,NES,Puzzle,0.98
1993,SNES,Sports,0.8
1993,SNES,Role-Playing,0.78
1993,SNES,Fighting,0.73
1993,SNES,Sports,0.69
1993,SNES,Strategy,0.62
1993,SNES,Platform,0.56
1993,SNES,Sports,0.53
1993,SNES,Sports,0.53
1993,NES,Platform,0.52
1993,SNES,Puzzle,0.49
1993,SNES,Platform,0.46
1993,SNES,Fighting,0.45
1993,SNES,Fighting,0.36
1993,NES,Action,0.36
1993,SNES,Racing,0.35
1993,SNES,Role-Playing,0.32
1993,SNES,Platform,0.31
1993,SNES,Fighting,0.27
1993,SNES,Action,0.22
1993,SNES,Misc,0.19
1993,GEN,Strategy,0.19
1993,SNES,Simulation,0.19
1993,SNES,Sports,0.18
1993,SNES,Sports,0.17
1993,GEN,Fighting,0.15
1993,NG,Fighting,0.14
1993,SNES,Role-Playing,0.13
1993,SNES,Sports,0.12
1993,SNES,Sports,0.11
1993,SNES,Role-Playing,0.11
1993,SNES,Shooter,0.09
1993,GEN,Adventure,0.07
1993,GEN,Action,0.07
1993,NG,Fighting,0.07
1993,SNES,Action,0.07
1993,GEN,Action,0.07
1993,SNES,Misc,0.06
1993,SNES,Platform,0.06
1993,SNES,Role-Playing,0.05
1993,GEN,Platform,0.05
1993,SNES,Misc,0.05
1993,SNES,Sports,0.05
1993,GEN,Role-Playing,0.05
1993,SNES,Racing,0.01
1994,SNES,Platform,9.3
1994,GB,Platform,5.19
1994,GB,Platform,3.91
1994,PC,Shooter,3.61
1994,SNES,Role-Playing,3.42
1994,GB,Platform,3.07
1994,PC,Adventure,2.81
1994,PC,Misc,2.39
1994,PC,Strategy,2.08
1994,PC,Shooter,1.95
1994,GEN,Platform,1.82
1994,SNES,Platform,1.79
1994,GEN,Platform,1.76
1994,SNES,Fighting,1.53
1994,SNES,Action,1.42
1994,GEN,Platform,1.41
1994,SNES,Sports,1.39
1994,GEN,Fighting,1.34
1994,PS,Fighting,1.27
1994,GEN,Sports,1.11
1994,SAT,Fighting,1.07
1994,SNES,Simulation,0.91
1994,SNES,Sports,0.87
1994,SNES,Adventure,0.81
1994,SNES,Puzzle,0.81
1994,SNES,Role-Playing,0.81
1994,PS,Racing,0.79
1994,PS,Shooter,0.78
1994,SNES,Puzzle,0.7
1994,SNES,Role-Playing,0.7
1994,SNES,Sports,0.59
1994,PS,Simulation,0.57
1994,SNES,Fighting,0.56
1994,SAT,Racing,0.55
1994,SNES,Strategy,0.53
1994,SNES,Sports,0.53
1994,SNES,Shooter,0.46
1994,PS,Sports,0.45
1994,SNES,Simulation,0.43
1994,SNES,Sports,0.41
1994,SNES,Fighting,0.4
1994,SNES,Sports,0.39
1994,PS,Sports,0.38
1994,PS,Shooter,0.37
1994,SNES,Sports,0.37
1994,SNES,Strategy,0.37
1994,SNES,Role-Playing,0.37
1994,SNES,Sports,0.36
1994,SNES,Fighting,0.36
1994,SNES,Role-Playing,0.36
1994,SNES,Platform,0.36
1994,SNES,Sports,0.33
1994,PS,Shooter,0.33
1994,SNES,Role-Playing,0.32
1994,SNES,Fighting,0.31
1994,SAT,Sports,0.3
1994,SNES,Role-Playing,0.3
1994,SNES,Misc,0.29
1994,SNES,Sports,0.28
1994,SAT,Simulation,0.28
1994,SNES,Sports,0.27
1994,SNES,Simulation,0.27
1994,GEN,Racing,0.26
1994,SAT,Shooter,0.25
1994,PS,Strategy,0.25
1994,NG,Fighting,0.25
1994,NG,Fighting,0.23
1994,SNES,Racing,0.2
1994,NG,Fighting,0.2
1994,SAT,Shooter,0.2
1994,PS,Simulation,0.19
1994,SNES,Strategy,0.19
1994,SNES,Shooter,0.18
1994,SAT,Racing,0.18
1994,SNES,Fighting,0.16
1994,GEN,Role-Playing,0.14
1994,SCD,Strategy,0.14
1994,NG,Fighting,0.12
1994,SNES,Role-Playing,0.12
1994,SAT,Fighting,0.12
1994,SNES,Fighting,0.12
1994,SAT,Fighting,0.12
1994,PS,Fighting,0.11
1994,PS,Sports,0.11
1994,NES,Role-Playing,0.11
1994,PS,Shooter,0.11
1994,PS,Role-Playing,0.1
1994,SAT,Platform,0.09
1994,SAT,Simulation,0.08
1994,PS,Role-Playing,0.08
1994,GEN,Fighting,0.08
1994,GEN,Role-Playing,0.08
1994,SNES,Role-Playing,0.08
1994,SAT,Racing,0.07
1994,SCD,Racing,0.07
1994,SNES,Sports,0.07
1994,SNES,Action,0.07
1994,PS,Racing,0.07
1994,PS,Adventure,0.06
1994,SAT,Shooter,0.06
1994,SAT,Sports,0.06
1994,SCD,Role-Playing,0.06
1994,SAT,Adventure,0.06
1994,SCD,Misc,0.05
1994,SNES,Misc,0.05
1994,SAT,Fighting,0.05
1994,SCD,Misc,0.05
1994,SAT,Sports,0.04
1994,SAT,Fighting,0.04
1994,GEN,Sports,0.04
1994,GEN,Platform,0.04
1994,SNES,Role-Playing,0.03
1994,SNES,Role-Playing,0.03
